region,supplysector,subsector,stub.technology,year,capacity.factor
YN,electricity,solar,PV_storage,1990,0.2981
ZJ,electricity,solar,PV_storage,1990,0.2196
AH,electricity,wind,wind_storage,2015,0.19
BJ,electricity,solar,PV,2005,0.2322
CQ,electricity,solar,PV,2005,0.1885
FJ,electricity,solar,PV,2005,0.2404
GD,electricity,solar,PV,2005,0.2391
GS,electricity,solar,PV,2005,0.2668
GX,electricity,solar,PV,2005,0.2292
GZ,electricity,solar,PV,2005,0.2318
HA,electricity,solar,PV,2005,0.2157
HB,electricity,solar,PV,2005,0.2094
HE,electricity,solar,PV,2005,0.2337
HI,electricity,solar,PV,2005,0.2689
HL,electricity,solar,PV,2005,0.215
HN,electricity,solar,PV,2005,0.2045
JL,electricity,solar,PV,2005,0.2221
JS,electricity,solar,PV,2005,0.2154
JX,electricity,solar,PV,2005,0.2184
LN,electricity,solar,PV,2005,0.2259
NM,electricity,solar,PV,2005,0.2529
NX,electricity,solar,PV,2005,0.2665
QH,electricity,solar,PV,2005,0.3241
SC,electricity,solar,PV,2005,0.2396
SD,electricity,solar,PV,2005,0.2221
SH,electricity,solar,PV,2005,0.2094
SN,electricity,solar,PV,2005,0.2376
SX,electricity,solar,PV,2005,0.2453
TJ,electricity,solar,PV,2005,0.2238
XJ,electricity,solar,PV,2005,0.2401
XZ,electricity,solar,PV,2005,0.3844
YN,electricity,solar,PV,2005,0.2981
ZJ,electricity,solar,PV,2005,0.2196
AH,electricity,wind,wind_storage,2020,0.19
BJ,electricity,solar,PV_storage,2005,0.2322
CQ,electricity,solar,PV_storage,2005,0.1885
FJ,electricity,solar,PV_storage,2005,0.2404
GD,electricity,solar,PV_storage,2005,0.2391
GS,electricity,solar,PV_storage,2005,0.2668
GX,electricity,solar,PV_storage,2005,0.2292
GZ,electricity,solar,PV_storage,2005,0.2318
HA,electricity,solar,PV_storage,2005,0.2157
HB,electricity,solar,PV_storage,2005,0.2094
HE,electricity,solar,PV_storage,2005,0.2337
HI,electricity,solar,PV_storage,2005,0.2689
HL,electricity,solar,PV_storage,2005,0.215
HN,electricity,solar,PV_storage,2005,0.2045
JL,electricity,solar,PV_storage,2005,0.2221
JS,electricity,solar,PV_storage,2005,0.2154
JX,electricity,solar,PV_storage,2005,0.2184
LN,electricity,solar,PV_storage,2005,0.2259
NM,electricity,solar,PV_storage,2005,0.2529
NX,electricity,solar,PV_storage,2005,0.2665
QH,electricity,solar,PV_storage,2005,0.3241
SC,electricity,solar,PV_storage,2005,0.2396
SD,electricity,solar,PV_storage,2005,0.2221
SH,electricity,solar,PV_storage,2005,0.2094
SN,electricity,solar,PV_storage,2005,0.2376
SX,electricity,solar,PV_storage,2005,0.2453
TJ,electricity,solar,PV_storage,2005,0.2238
XJ,electricity,solar,PV_storage,2005,0.2401
XZ,electricity,solar,PV_storage,2005,0.3844
YN,electricity,solar,PV_storage,2005,0.2981
ZJ,electricity,solar,PV_storage,2005,0.2196
AH,electricity,wind,wind_storage,2025,0.19
BJ,electricity,solar,PV,2010,0.2322
CQ,electricity,solar,PV,2010,0.1885
FJ,electricity,solar,PV,2010,0.2404
GD,electricity,solar,PV,2010,0.2391
GS,electricity,solar,PV,2010,0.2668
GX,electricity,solar,PV,2010,0.2292
GZ,electricity,solar,PV,2010,0.2318
HA,electricity,solar,PV,2010,0.2157
HB,electricity,solar,PV,2010,0.2094
HE,electricity,solar,PV,2010,0.2337
HI,electricity,solar,PV,2010,0.2689
HL,electricity,solar,PV,2010,0.215
HN,electricity,solar,PV,2010,0.2045
JL,electricity,solar,PV,2010,0.2221
JS,electricity,solar,PV,2010,0.2154
JX,electricity,solar,PV,2010,0.2184
LN,electricity,solar,PV,2010,0.2259
NM,electricity,solar,PV,2010,0.2529
NX,electricity,solar,PV,2010,0.2665
QH,electricity,solar,PV,2010,0.3241
SC,electricity,solar,PV,2010,0.2396
SD,electricity,solar,PV,2010,0.2221
SH,electricity,solar,PV,2010,0.2094
SN,electricity,solar,PV,2010,0.2376
SX,electricity,solar,PV,2010,0.2453
TJ,electricity,solar,PV,2010,0.2238
XJ,electricity,solar,PV,2010,0.2401
XZ,electricity,solar,PV,2010,0.3844
YN,electricity,solar,PV,2010,0.2981
ZJ,electricity,solar,PV,2010,0.2196
AH,electricity,wind,wind_storage,2030,0.19
BJ,electricity,solar,PV_storage,2010,0.2322
CQ,electricity,solar,PV_storage,2010,0.1885
FJ,electricity,solar,PV_storage,2010,0.2404
GD,electricity,solar,PV_storage,2010,0.2391
GS,electricity,solar,PV_storage,2010,0.2668
GX,electricity,solar,PV_storage,2010,0.2292
GZ,electricity,solar,PV_storage,2010,0.2318
HA,electricity,solar,PV_storage,2010,0.2157
HB,electricity,solar,PV_storage,2010,0.2094
HE,electricity,solar,PV_storage,2010,0.2337
HI,electricity,solar,PV_storage,2010,0.2689
HL,electricity,solar,PV_storage,2010,0.215
HN,electricity,solar,PV_storage,2010,0.2045
JL,electricity,solar,PV_storage,2010,0.2221
JS,electricity,solar,PV_storage,2010,0.2154
JX,electricity,solar,PV_storage,2010,0.2184
LN,electricity,solar,PV_storage,2010,0.2259
NM,electricity,solar,PV_storage,2010,0.2529
NX,electricity,solar,PV_storage,2010,0.2665
QH,electricity,solar,PV_storage,2010,0.3241
SC,electricity,solar,PV_storage,2010,0.2396
SD,electricity,solar,PV_storage,2010,0.2221
SH,electricity,solar,PV_storage,2010,0.2094
SN,electricity,solar,PV_storage,2010,0.2376
SX,electricity,solar,PV_storage,2010,0.2453
TJ,electricity,solar,PV_storage,2010,0.2238
XJ,electricity,solar,PV_storage,2010,0.2401
XZ,electricity,solar,PV_storage,2010,0.3844
YN,electricity,solar,PV_storage,2010,0.2981
ZJ,electricity,solar,PV_storage,2010,0.2196
AH,electricity,wind,wind_storage,2035,0.19
BJ,electricity,solar,PV,2015,0.2322
CQ,electricity,solar,PV,2015,0.1885
FJ,electricity,solar,PV,2015,0.2404
GD,electricity,solar,PV,2015,0.2391
GS,electricity,solar,PV,2015,0.2668
GX,electricity,solar,PV,2015,0.2292
GZ,electricity,solar,PV,2015,0.2318
HA,electricity,solar,PV,2015,0.2157
HB,electricity,solar,PV,2015,0.2094
HE,electricity,solar,PV,2015,0.2337
HI,electricity,solar,PV,2015,0.2689
HL,electricity,solar,PV,2015,0.215
HN,electricity,solar,PV,2015,0.2045
JL,electricity,solar,PV,2015,0.2221
JS,electricity,solar,PV,2015,0.2154
JX,electricity,solar,PV,2015,0.2184
LN,electricity,solar,PV,2015,0.2259
NM,electricity,solar,PV,2015,0.2529
NX,electricity,solar,PV,2015,0.2665
QH,electricity,solar,PV,2015,0.3241
SC,electricity,solar,PV,2015,0.2396
SD,electricity,solar,PV,2015,0.2221
SH,electricity,solar,PV,2015,0.2094
SN,electricity,solar,PV,2015,0.2376
SX,electricity,solar,PV,2015,0.2453
TJ,electricity,solar,PV,2015,0.2238
XJ,electricity,solar,PV,2015,0.2401
XZ,electricity,solar,PV,2015,0.3844
YN,electricity,solar,PV,2015,0.2981
ZJ,electricity,solar,PV,2015,0.2196
AH,electricity,wind,wind_storage,2040,0.19
BJ,electricity,solar,PV_storage,2015,0.2322
CQ,electricity,solar,PV_storage,2015,0.1885
FJ,electricity,solar,PV_storage,2015,0.2404
GD,electricity,solar,PV_storage,2015,0.2391
GS,electricity,solar,PV_storage,2015,0.2668
GX,electricity,solar,PV_storage,2015,0.2292
GZ,electricity,solar,PV_storage,2015,0.2318
HA,electricity,solar,PV_storage,2015,0.2157
HB,electricity,solar,PV_storage,2015,0.2094
HE,electricity,solar,PV_storage,2015,0.2337
HI,electricity,solar,PV_storage,2015,0.2689
HL,electricity,solar,PV_storage,2015,0.215
HN,electricity,solar,PV_storage,2015,0.2045
JL,electricity,solar,PV_storage,2015,0.2221
JS,electricity,solar,PV_storage,2015,0.2154
JX,electricity,solar,PV_storage,2015,0.2184
LN,electricity,solar,PV_storage,2015,0.2259
NM,electricity,solar,PV_storage,2015,0.2529
NX,electricity,solar,PV_storage,2015,0.2665
QH,electricity,solar,PV_storage,2015,0.3241
SC,electricity,solar,PV_storage,2015,0.2396
SD,electricity,solar,PV_storage,2015,0.2221
SH,electricity,solar,PV_storage,2015,0.2094
SN,electricity,solar,PV_storage,2015,0.2376
SX,electricity,solar,PV_storage,2015,0.2453
TJ,electricity,solar,PV_storage,2015,0.2238
XJ,electricity,solar,PV_storage,2015,0.2401
XZ,electricity,solar,PV_storage,2015,0.3844
YN,electricity,solar,PV_storage,2015,0.2981
ZJ,electricity,solar,PV_storage,2015,0.2196
AH,electricity,wind,wind_storage,2045,0.19
BJ,electricity,solar,PV,2020,0.2322
CQ,electricity,solar,PV,2020,0.1885
FJ,electricity,solar,PV,2020,0.2404
GD,electricity,solar,PV,2020,0.2391
GS,electricity,solar,PV,2020,0.2668
GX,electricity,solar,PV,2020,0.2292
GZ,electricity,solar,PV,2020,0.2318
HA,electricity,solar,PV,2020,0.2157
HB,electricity,solar,PV,2020,0.2094
HE,electricity,solar,PV,2020,0.2337
HI,electricity,solar,PV,2020,0.2689
HL,electricity,solar,PV,2020,0.215
HN,electricity,solar,PV,2020,0.2045
JL,electricity,solar,PV,2020,0.2221
JS,electricity,solar,PV,2020,0.2154
JX,electricity,solar,PV,2020,0.2184
LN,electricity,solar,PV,2020,0.2259
NM,electricity,solar,PV,2020,0.2529
NX,electricity,solar,PV,2020,0.2665
QH,electricity,solar,PV,2020,0.3241
SC,electricity,solar,PV,2020,0.2396
SD,electricity,solar,PV,2020,0.2221
SH,electricity,solar,PV,2020,0.2094
SN,electricity,solar,PV,2020,0.2376
SX,electricity,solar,PV,2020,0.2453
TJ,electricity,solar,PV,2020,0.2238
XJ,electricity,solar,PV,2020,0.2401
XZ,electricity,solar,PV,2020,0.3844
YN,electricity,solar,PV,2020,0.2981
ZJ,electricity,solar,PV,2020,0.2196
AH,electricity,wind,wind_storage,2050,0.19
BJ,electricity,solar,PV_storage,2020,0.2322
CQ,electricity,solar,PV_storage,2020,0.1885
FJ,electricity,solar,PV_storage,2020,0.2404
GD,electricity,solar,PV_storage,2020,0.2391
GS,electricity,solar,PV_storage,2020,0.2668
GX,electricity,solar,PV_storage,2020,0.2292
GZ,electricity,solar,PV_storage,2020,0.2318
HA,electricity,solar,PV_storage,2020,0.2157
HB,electricity,solar,PV_storage,2020,0.2094
HE,electricity,solar,PV_storage,2020,0.2337
HI,electricity,solar,PV_storage,2020,0.2689
HL,electricity,solar,PV_storage,2020,0.215
HN,electricity,solar,PV_storage,2020,0.2045
JL,electricity,solar,PV_storage,2020,0.2221
JS,electricity,solar,PV_storage,2020,0.2154
JX,electricity,solar,PV_storage,2020,0.2184
LN,electricity,solar,PV_storage,2020,0.2259
NM,electricity,solar,PV_storage,2020,0.2529
NX,electricity,solar,PV_storage,2020,0.2665
QH,electricity,solar,PV_storage,2020,0.3241
SC,electricity,solar,PV_storage,2020,0.2396
SD,electricity,solar,PV_storage,2020,0.2221
SH,electricity,solar,PV_storage,2020,0.2094
SN,electricity,solar,PV_storage,2020,0.2376
SX,electricity,solar,PV_storage,2020,0.2453
TJ,electricity,solar,PV_storage,2020,0.2238
XJ,electricity,solar,PV_storage,2020,0.2401
XZ,electricity,solar,PV_storage,2020,0.3844
YN,electricity,solar,PV_storage,2020,0.2981
ZJ,electricity,solar,PV_storage,2020,0.2196
AH,electricity,wind,wind_storage,2055,0.19
BJ,electricity,solar,PV,2025,0.2322
CQ,electricity,solar,PV,2025,0.1885
FJ,electricity,solar,PV,2025,0.2404
GD,electricity,solar,PV,2025,0.2391
GS,electricity,solar,PV,2025,0.2668
GX,electricity,solar,PV,2025,0.2292
GZ,electricity,solar,PV,2025,0.2318
HA,electricity,solar,PV,2025,0.2157
HB,electricity,solar,PV,2025,0.2094
HE,electricity,solar,PV,2025,0.2337
HI,electricity,solar,PV,2025,0.2689
HL,electricity,solar,PV,2025,0.215
HN,electricity,solar,PV,2025,0.2045
JL,electricity,solar,PV,2025,0.2221
JS,electricity,solar,PV,2025,0.2154
JX,electricity,solar,PV,2025,0.2184
LN,electricity,solar,PV,2025,0.2259
NM,electricity,solar,PV,2025,0.2529
NX,electricity,solar,PV,2025,0.2665
QH,electricity,solar,PV,2025,0.3241
SC,electricity,solar,PV,2025,0.2396
SD,electricity,solar,PV,2025,0.2221
SH,electricity,solar,PV,2025,0.2094
SN,electricity,solar,PV,2025,0.2376
SX,electricity,solar,PV,2025,0.2453
TJ,electricity,solar,PV,2025,0.2238
XJ,electricity,solar,PV,2025,0.2401
XZ,electricity,solar,PV,2025,0.3844
YN,electricity,solar,PV,2025,0.2981
ZJ,electricity,solar,PV,2025,0.2196
AH,electricity,wind,wind_storage,2060,0.19
BJ,electricity,solar,PV_storage,2025,0.2322
CQ,electricity,solar,PV_storage,2025,0.1885
FJ,electricity,solar,PV_storage,2025,0.2404
GD,electricity,solar,PV_storage,2025,0.2391
GS,electricity,solar,PV_storage,2025,0.2668
GX,electricity,solar,PV_storage,2025,0.2292
GZ,electricity,solar,PV_storage,2025,0.2318
HA,electricity,solar,PV_storage,2025,0.2157
HB,electricity,solar,PV_storage,2025,0.2094
HE,electricity,solar,PV_storage,2025,0.2337
HI,electricity,solar,PV_storage,2025,0.2689
HL,electricity,solar,PV_storage,2025,0.215
HN,electricity,solar,PV_storage,2025,0.2045
JL,electricity,solar,PV_storage,2025,0.2221
JS,electricity,solar,PV_storage,2025,0.2154
JX,electricity,solar,PV_storage,2025,0.2184
LN,electricity,solar,PV_storage,2025,0.2259
NM,electricity,solar,PV_storage,2025,0.2529
NX,electricity,solar,PV_storage,2025,0.2665
QH,electricity,solar,PV_storage,2025,0.3241
SC,electricity,solar,PV_storage,2025,0.2396
SD,electricity,solar,PV_storage,2025,0.2221
SH,electricity,solar,PV_storage,2025,0.2094
SN,electricity,solar,PV_storage,2025,0.2376
SX,electricity,solar,PV_storage,2025,0.2453
TJ,electricity,solar,PV_storage,2025,0.2238
XJ,electricity,solar,PV_storage,2025,0.2401
XZ,electricity,solar,PV_storage,2025,0.3844
YN,electricity,solar,PV_storage,2025,0.2981
ZJ,electricity,solar,PV_storage,2025,0.2196
AH,electricity,wind,wind_storage,2065,0.19
BJ,electricity,solar,PV,2030,0.2322
CQ,electricity,solar,PV,2030,0.1885
FJ,electricity,solar,PV,2030,0.2404
GD,electricity,solar,PV,2030,0.2391
GS,electricity,solar,PV,2030,0.2668
GX,electricity,solar,PV,2030,0.2292
GZ,electricity,solar,PV,2030,0.2318
HA,electricity,solar,PV,2030,0.2157
HB,electricity,solar,PV,2030,0.2094
HE,electricity,solar,PV,2030,0.2337
HI,electricity,solar,PV,2030,0.2689
HL,electricity,solar,PV,2030,0.215
HN,electricity,solar,PV,2030,0.2045
JL,electricity,solar,PV,2030,0.2221
JS,electricity,solar,PV,2030,0.2154
JX,electricity,solar,PV,2030,0.2184
LN,electricity,solar,PV,2030,0.2259
NM,electricity,solar,PV,2030,0.2529
NX,electricity,solar,PV,2030,0.2665
QH,electricity,solar,PV,2030,0.3241
SC,electricity,solar,PV,2030,0.2396
SD,electricity,solar,PV,2030,0.2221
SH,electricity,solar,PV,2030,0.2094
SN,electricity,solar,PV,2030,0.2376
SX,electricity,solar,PV,2030,0.2453
TJ,electricity,solar,PV,2030,0.2238
XJ,electricity,solar,PV,2030,0.2401
XZ,electricity,solar,PV,2030,0.3844
YN,electricity,solar,PV,2030,0.2981
ZJ,electricity,solar,PV,2030,0.2196
AH,electricity,wind,wind_storage,2070,0.19
BJ,electricity,solar,PV_storage,2030,0.2322
CQ,electricity,solar,PV_storage,2030,0.1885
FJ,electricity,solar,PV_storage,2030,0.2404
GD,electricity,solar,PV_storage,2030,0.2391
GS,electricity,solar,PV_storage,2030,0.2668
GX,electricity,solar,PV_storage,2030,0.2292
GZ,electricity,solar,PV_storage,2030,0.2318
HA,electricity,solar,PV_storage,2030,0.2157
HB,electricity,solar,PV_storage,2030,0.2094
HE,electricity,solar,PV_storage,2030,0.2337
HI,electricity,solar,PV_storage,2030,0.2689
HL,electricity,solar,PV_storage,2030,0.215
HN,electricity,solar,PV_storage,2030,0.2045
JL,electricity,solar,PV_storage,2030,0.2221
JS,electricity,solar,PV_storage,2030,0.2154
JX,electricity,solar,PV_storage,2030,0.2184
LN,electricity,solar,PV_storage,2030,0.2259
NM,electricity,solar,PV_storage,2030,0.2529
NX,electricity,solar,PV_storage,2030,0.2665
QH,electricity,solar,PV_storage,2030,0.3241
SC,electricity,solar,PV_storage,2030,0.2396
SD,electricity,solar,PV_storage,2030,0.2221
SH,electricity,solar,PV_storage,2030,0.2094
SN,electricity,solar,PV_storage,2030,0.2376
SX,electricity,solar,PV_storage,2030,0.2453
TJ,electricity,solar,PV_storage,2030,0.2238
XJ,electricity,solar,PV_storage,2030,0.2401
XZ,electricity,solar,PV_storage,2030,0.3844
YN,electricity,solar,PV_storage,2030,0.2981
ZJ,electricity,solar,PV_storage,2030,0.2196
AH,electricity,wind,wind_storage,2075,0.19
BJ,electricity,solar,PV,2035,0.2322
CQ,electricity,solar,PV,2035,0.1885
FJ,electricity,solar,PV,2035,0.2404
GD,electricity,solar,PV,2035,0.2391
GS,electricity,solar,PV,2035,0.2668
GX,electricity,solar,PV,2035,0.2292
GZ,electricity,solar,PV,2035,0.2318
HA,electricity,solar,PV,2035,0.2157
HB,electricity,solar,PV,2035,0.2094
HE,electricity,solar,PV,2035,0.2337
HI,electricity,solar,PV,2035,0.2689
HL,electricity,solar,PV,2035,0.215
HN,electricity,solar,PV,2035,0.2045
JL,electricity,solar,PV,2035,0.2221
JS,electricity,solar,PV,2035,0.2154
JX,electricity,solar,PV,2035,0.2184
LN,electricity,solar,PV,2035,0.2259
NM,electricity,solar,PV,2035,0.2529
NX,electricity,solar,PV,2035,0.2665
QH,electricity,solar,PV,2035,0.3241
SC,electricity,solar,PV,2035,0.2396
SD,electricity,solar,PV,2035,0.2221
SH,electricity,solar,PV,2035,0.2094
SN,electricity,solar,PV,2035,0.2376
SX,electricity,solar,PV,2035,0.2453
TJ,electricity,solar,PV,2035,0.2238
XJ,electricity,solar,PV,2035,0.2401
XZ,electricity,solar,PV,2035,0.3844
YN,electricity,solar,PV,2035,0.2981
ZJ,electricity,solar,PV,2035,0.2196
AH,electricity,wind,wind_storage,2080,0.19
BJ,electricity,solar,PV_storage,2035,0.2322
CQ,electricity,solar,PV_storage,2035,0.1885
FJ,electricity,solar,PV_storage,2035,0.2404
GD,electricity,solar,PV_storage,2035,0.2391
GS,electricity,solar,PV_storage,2035,0.2668
GX,electricity,solar,PV_storage,2035,0.2292
GZ,electricity,solar,PV_storage,2035,0.2318
HA,electricity,solar,PV_storage,2035,0.2157
HB,electricity,solar,PV_storage,2035,0.2094
HE,electricity,solar,PV_storage,2035,0.2337
HI,electricity,solar,PV_storage,2035,0.2689
HL,electricity,solar,PV_storage,2035,0.215
HN,electricity,solar,PV_storage,2035,0.2045
JL,electricity,solar,PV_storage,2035,0.2221
JS,electricity,solar,PV_storage,2035,0.2154
JX,electricity,solar,PV_storage,2035,0.2184
LN,electricity,solar,PV_storage,2035,0.2259
NM,electricity,solar,PV_storage,2035,0.2529
NX,electricity,solar,PV_storage,2035,0.2665
QH,electricity,solar,PV_storage,2035,0.3241
SC,electricity,solar,PV_storage,2035,0.2396
SD,electricity,solar,PV_storage,2035,0.2221
SH,electricity,solar,PV_storage,2035,0.2094
SN,electricity,solar,PV_storage,2035,0.2376
SX,electricity,solar,PV_storage,2035,0.2453
TJ,electricity,solar,PV_storage,2035,0.2238
XJ,electricity,solar,PV_storage,2035,0.2401
XZ,electricity,solar,PV_storage,2035,0.3844
YN,electricity,solar,PV_storage,2035,0.2981
ZJ,electricity,solar,PV_storage,2035,0.2196
AH,electricity,wind,wind_storage,2085,0.19
BJ,electricity,solar,PV,2040,0.2322
CQ,electricity,solar,PV,2040,0.1885
FJ,electricity,solar,PV,2040,0.2404
GD,electricity,solar,PV,2040,0.2391
GS,electricity,solar,PV,2040,0.2668
GX,electricity,solar,PV,2040,0.2292
GZ,electricity,solar,PV,2040,0.2318
HA,electricity,solar,PV,2040,0.2157
HB,electricity,solar,PV,2040,0.2094
HE,electricity,solar,PV,2040,0.2337
HI,electricity,solar,PV,2040,0.2689
HL,electricity,solar,PV,2040,0.215
HN,electricity,solar,PV,2040,0.2045
JL,electricity,solar,PV,2040,0.2221
JS,electricity,solar,PV,2040,0.2154
JX,electricity,solar,PV,2040,0.2184
LN,electricity,solar,PV,2040,0.2259
NM,electricity,solar,PV,2040,0.2529
NX,electricity,solar,PV,2040,0.2665
QH,electricity,solar,PV,2040,0.3241
SC,electricity,solar,PV,2040,0.2396
SD,electricity,solar,PV,2040,0.2221
SH,electricity,solar,PV,2040,0.2094
SN,electricity,solar,PV,2040,0.2376
SX,electricity,solar,PV,2040,0.2453
TJ,electricity,solar,PV,2040,0.2238
XJ,electricity,solar,PV,2040,0.2401
XZ,electricity,solar,PV,2040,0.3844
YN,electricity,solar,PV,2040,0.2981
ZJ,electricity,solar,PV,2040,0.2196
AH,electricity,wind,wind_storage,2090,0.19
BJ,electricity,solar,PV_storage,2040,0.2322
CQ,electricity,solar,PV_storage,2040,0.1885
FJ,electricity,solar,PV_storage,2040,0.2404
GD,electricity,solar,PV_storage,2040,0.2391
GS,electricity,solar,PV_storage,2040,0.2668
GX,electricity,solar,PV_storage,2040,0.2292
GZ,electricity,solar,PV_storage,2040,0.2318
HA,electricity,solar,PV_storage,2040,0.2157
HB,electricity,solar,PV_storage,2040,0.2094
HE,electricity,solar,PV_storage,2040,0.2337
HI,electricity,solar,PV_storage,2040,0.2689
HL,electricity,solar,PV_storage,2040,0.215
HN,electricity,solar,PV_storage,2040,0.2045
JL,electricity,solar,PV_storage,2040,0.2221
JS,electricity,solar,PV_storage,2040,0.2154
JX,electricity,solar,PV_storage,2040,0.2184
LN,electricity,solar,PV_storage,2040,0.2259
NM,electricity,solar,PV_storage,2040,0.2529
NX,electricity,solar,PV_storage,2040,0.2665
QH,electricity,solar,PV_storage,2040,0.3241
SC,electricity,solar,PV_storage,2040,0.2396
SD,electricity,solar,PV_storage,2040,0.2221
SH,electricity,solar,PV_storage,2040,0.2094
